ideaID,content,authorID,timeStamp,,,,
DSQ54jNAgsGmWWbcT,star wars light saber everyone will be dressed as star wars characters and be required to carry light saber,A610SH5RY1NG1,1.44E+12,Far-Far,[star wars] [light saber] everyone will be dressed as star wars characters and be required to carry light saber,5,0.312520779
DkdCkktoGrjbkKxen,western western costumes we want everyone to come as country as possible!,ACFMXT9ZGJJYZ,1.44E+12,Far-Far,[western] [western costumes] we want everyone to come as country as possible!,3.25,-0.62988453
EHXcqygYzLJPKunu4,4th of July Flag Wedding Cake The wedding cake will be decorated like an American flag. ,A2AK649KPZ2IZN,1.44E+12,Near-Far,[4th of July] [Flag Wedding Cake] The wedding cake will be decorated like an American flag. ,3.5,-0.250992222
ETS5rJKhsRpMcihGd,Winter packing peanuts Use as fake snow to decorate tables and floor,A3LN9BVLOWLYER,1.44E+12,Far-Far,[Winter] [packing peanuts] Use as fake snow to decorate tables and floor,3.666666667,-0.161322941
ErvWYsPCsa5G4XM5q,Harry Potter Wand The wand will be used for games and fun.,A2BWTQWFM1J2IN,1.44E+12,Near-Far,[Harry Potter] [Wand] The wand will be used for games and fun.,4.4,0.389161673
ExCh2RjapuTWB4wZ9,disney dvd they guess the movie the other guests brought,A3TYWTLNIKKD29,1.44E+12,pInspControl,[disney] [dvd] they guess the movie the other guests brought,4.090909091,0.203899096
FgJYNkDpgetqMvmFk,masquerade mask everyone will were them durring photos,A1D01TUSE0H5TW,1.44E+12,pInspControl,[masquerade] [mask] everyone will were them durring photos,3.166666667,-0.638346905
GFuLzjykE55GtQANh,games game guests play board games,A3TYWTLNIKKD29,1.44E+12,pInspControl,[games] [game] guests play board games,3.142857143,-0.150796121
GLKezZtqFCZmP3juu,rodeo cowboy hat There could be a mechanical bull at the wedding that guest get to try their hand at staying on,A3VBJKFVE970LX,1.44E+12,Far-Far,[rodeo] [cowboy hat] There could be a mechanical bull at the wedding that guest get to try their hand at staying on,3.666666667,0.258050922
GYTP6ap9xL7cEqCvS,Lord of the Rings Elven costumes Guests and wedding party will dress like elves from Rivendell. ,A2AK649KPZ2IZN,1.44E+12,Near-Far,[Lord of the Rings] [Elven costumes] Guests and wedding party will dress like elves from Rivendell. ,4.333333333,0.263446624
J3Awukpt5DuSmb6C4,fairy tale ball gowns guests will dress to the nines as characters from a fairy tale,ACFMXT9ZGJJYZ,1.44E+12,Far-Far,[fairy tale] [ball gowns] guests will dress to the nines as characters from a fairy tale,4.571428571,0.167895563
J6C7H43wN4f7ffXkM,80's A wig Everyone will wear a big hair wig and 80's clothes,A38HODAQUKJKKS,1.44E+12,Far-Near,[80's] [A wig] Everyone will wear a big hair wig and 80's clothes,3.333333333,-0.523496577
Jis8iH8FKZb7EnDiz,medieval gown A costume gown for the women,A1IS0218RVG60K,1.44E+12,Far-Far,[medieval] [gown] A costume gown for the women,4,-0.169590198
K8ZXKeTwGs86N9XyE,Luau grass skirt tropical weddings are the best,A1KDMPYXFE8ZAZ,1.44E+12,Far-Near,[Luau] [grass skirt] tropical weddings are the best,1.5,-1.256588454
KtnK39NQAfvCWmz8Q,Summer night shorts and t-shirt Everyone will dress in these for the reception,A1RDRK3QTM7U96,1.44E+12,Far-Near,[Summer night] [shorts and t-shirt] Everyone will dress in these for the reception,3.25,-0.968072041
LCxuFBLDsXY9ZoSwt,Summertime  Fruity Cocktails Guests will be able to order cocktails with in-season fruit. ,A2AK649KPZ2IZN,1.44E+12,Near-Far,[Summertime ] [Fruity Cocktails] Guests will be able to order cocktails with in-season fruit. ,1.666666667,-1.10916657
MFwpr5ka5vwLkYfSG,pirates swords pirate ship wedding area,A1OK974KXKO6FJ,1.44E+12,Near-Near,[pirates] [swords] pirate ship wedding area,4.5,0.063637679
MXLeW9Aw5txeJufZe,butterflies butterfly the butterflies will be released after the wedding,A1V6BJT8KGVC1K,1.44E+12,pInspControl,[butterflies] [butterfly] the butterflies will be released after the wedding,3.4,-0.348655497
QGgDi3iH42gqgH4Yq,medieval horse A steed for the groom to ride on,A1IS0218RVG60K,1.44E+12,Far-Far,[medieval] [horse] A steed for the groom to ride on,4.6,0.06588991
R4AsSjJRBvS8TdYTR,Hawaii Lei Everyone will wear it to make it seem like the couple got married in Hawaii,A1D01TUSE0H5TW,1.44E+12,pInspControl,[Hawaii] [Lei] Everyone will wear it to make it seem like the couple got married in Hawaii,2.6,-0.963384094
RZ9SFkTHHpYusBwwu,halloween pumpkins we will have love quotes written on all pumpkins,ACFMXT9ZGJJYZ,1.44E+12,Far-Far,[halloween] [pumpkins] we will have love quotes written on all pumpkins,3.25,0.063290195
RtDKuQoKRS6JBhSYs,Fire and Ice Costume Red and Blue clothing,A1KDMPYXFE8ZAZ,1.44E+12,Far-Near,[Fire and Ice] [Costume] Red and Blue clothing,3.222222222,-0.233168774
SBxHJaNmjnnRjgpS4,"ABC Costume Anything but clothes, come up with whacky dresses!",A1KDMPYXFE8ZAZ,1.44E+12,Far-Near,"[ABC] [Costume] Anything but clothes, come up with whacky dresses!",3,-0.573641376
SnrLH6RNysjghGKxS,medieval sword A costume prop for the men,A1IS0218RVG60K,1.44E+12,Far-Far,[medieval] [sword] A costume prop for the men,4.125,0.020308701
TJf6HZKcomSQJEwmZ,rustic pair of boots you'll need proper shoes outside,A3TYWTLNIKKD29,1.44E+12,pInspControl,[rustic] [pair of boots] you'll need proper shoes outside,4,-0.666204366
WjekeNtARAKEv8AHL,rave blacklight clothing uhn tiss uhn tiss uhn tiss,A1KDMPYXFE8ZAZ,1.44E+12,Far-Near,[rave] [blacklight clothing] uhn tiss uhn tiss uhn tiss,2.8,-0.692082336
Ziub7WoKjSL53NEZz,"destination lei on the beach somewhere, everyone one in a lei",AW5FP8MFB3F7X,1.44E+12,Near-Near,"[destination] [lei] on the beach somewhere, everyone one in a lei",2,-1.708136659
ZrPDip6rNNA6BLJC4,Lord of the Rings A Ring The one Ring as a wedding cake topper,A1PG8JACPB207H,1.44E+12,Near-Far,[Lord of the Rings] [A Ring] The one Ring as a wedding cake topper,4.75,0.552776207
ZzqkfvEexC9Kreg2L,"books book use for games, conversations",A3TYWTLNIKKD29,1.44E+12,pInspControl,"[books] [book] use for games, conversations",4.5,0.623162347
bAsv7xQuS29fuBscK,disney cartoon pictures cartoon decor,A1VCAMP3XM62R4,1.44E+12,Far-Near,[disney] [cartoon pictures] cartoon decor,4,-0.094946971
bbavqQpb6bK7x9hSe,"Naked wedding  no clothes  this wedding will be held in the nude, on a beach.  swimming and sunbathing to follow. ",A2Q0KK9YL1O7B6,1.44E+12,Near-Near,"[Naked wedding ] [no clothes ] this wedding will be held in the nude, on a beach.  swimming and sunbathing to follow. ",6.4,1.163211689
ckE5qWt7KipbRZtHf,Video games video game item Everyone will tell a story about their item,A1RDRK3QTM7U96,1.44E+12,Far-Near,[Video games] [video game item] Everyone will tell a story about their item,6.5,1.164837026
euhcppzue5jT4aWuL,Rural Plaid Plaid expans it really,A1KDMPYXFE8ZAZ,1.44E+12,Far-Near,[Rural] [Plaid] Plaid expans it really,2.6,-0.657973172
ez7F3KwDyX3vQ5rpa,luau lei everyone will wear grass skirts and leis,ACFMXT9ZGJJYZ,1.44E+12,Far-Far,[luau] [lei] everyone will wear grass skirts and leis,4.333333333,0.101367612
fRij5i3FdALybtD2Z,World of Warcraft fake weapon Posing with various warcraft legendary weapons,A1PG8JACPB207H,1.44E+12,Near-Far,[World of Warcraft] [fake weapon] Posing with various warcraft legendary weapons,4.333333333,0.341741212
hFbZzoSQgBDNnMGCR,treasure hunt plastic weapon you can use the weapon as a reward,A1OK974KXKO6FJ,1.44E+12,Near-Near,[treasure hunt] [plastic weapon] you can use the weapon as a reward,4.5,-0.179933879
hHqxk6FsvT5ACcHiv,star wars light saber Light sabers could be used to knight the wedding party after the ceremony,A3VBJKFVE970LX,1.44E+12,Far-Far,[star wars] [light saber] Light sabers could be used to knight the wedding party after the ceremony,5.166666667,0.589864208
hZ9BzHsQJk2TTxXSC,Star Wars Darth Vadar cutout The bride could do her hair as Princess Leia. There could be light-sabers given out as wedding favors. ,AHUD85SEX0LUO,1.44E+12,Near-Near,[Star Wars] [Darth Vadar cutout] The bride could do her hair as Princess Leia. There could be light-sabers given out as wedding favors. ,4.333333333,0.229626188
hiSJMfFFeXFpQdcfp,Pirate ship plastic weapon you can use the weapon to stage a fake swordfight,A1OK974KXKO6FJ,1.44E+12,Near-Near,[Pirate ship] [plastic weapon] you can use the weapon to stage a fake swordfight,3.75,-0.153369713
j5t2ufui9Ja7Nhpwg,Medieval Medieval clothing  Everyone dressed in medieval clothing,A1PG8JACPB207H,1.44E+12,Near-Far,[Medieval] [Medieval clothing ] Everyone dressed in medieval clothing,5.666666667,1.21855043
jsDTb9Caie7n4ityY,BlackBeard Eye patch All will wear the pirates eye patch at the wedding,A3J01A18AJBGKX,1.44E+12,Far-Far,[BlackBeard] [Eye patch] All will wear the pirates eye patch at the wedding,2.333333333,-0.856228875
kMmRcjnt6EEms8uqG,"Nancy Drew Magnifying Glass Lots of mysteries, glass is a table centerpiece.",A2BWTQWFM1J2IN,1.44E+12,Near-Far,"[Nancy Drew] [Magnifying Glass] Lots of mysteries, glass is a table centerpiece.",5.5,0.497869569
kQvkN9SnWcPtS86zH,Vegas Sunglasses Sunglasses to hide your poker tell,A1KDMPYXFE8ZAZ,1.44E+12,Far-Near,[Vegas] [Sunglasses] Sunglasses to hide your poker tell,3.4,-0.266287582
mc7hKsHhm6kYxhTn4,star wars light saber for party games,A3TYWTLNIKKD29,1.44E+12,pInspControl,[star wars] [light saber] for party games,5.5,0.491523434
nQyrE5GHgY7RP7K5f,winter wonderland snow hat Fake snow could fall down at random times from the ceiling,A3VBJKFVE970LX,1.44E+12,Far-Far,[winter wonderland] [snow hat] Fake snow could fall down at random times from the ceiling,3.5,-0.453477949
o2jFWLHfnRwnF5kiw,Autumn Leaves Decorative leaves will be placed all over the tables. ,A2AK649KPZ2IZN,1.44E+12,Near-Far,[Autumn] [Leaves] Decorative leaves will be placed all over the tables. ,2.714285714,-0.654600543
ptCuSotMgnjg8WqmB,Zoo Stuffed animal Each table will be a different animal exhibit,ABBZGF22NICO7,1.44E+12,pInspControl,[Zoo] [Stuffed animal] Each table will be a different animal exhibit,3.8,-0.05425581
pwpP6c5H7EphB4XsJ,Star Wars Light saber wedding pictures with light saber duels,A1PG8JACPB207H,1.44E+12,Near-Far,[Star Wars] [Light saber] wedding pictures with light saber duels,4,-0.019928964
qFZQurYsyCzjHzHKJ,Fall Pumpkin carving and lighting for reception,ATL88E7W705EG,1.44E+12,Near-Near,[Fall] [Pumpkin] carving and lighting for reception,5.5,0.883645336
svJtBjzjpsYy4QwvZ,BYOB Booze Pretty slef expanatory,A1KDMPYXFE8ZAZ,1.44E+12,Far-Near,[BYOB] [Booze] Pretty slef expanatory,2,-1.083394415
u97GDu2n2jjECD2Mg,Spring Fever Peeps Wedding guests will have food made with creative Peeps,A2AK649KPZ2IZN,1.44E+12,Near-Far,[Spring Fever] [Peeps] Wedding guests will have food made with creative Peeps,5.333333333,0.713395129
uTM8DX3hs2dyMc2xG,party balloons guests will release balloons after couple is pronounced man and wife,ACFMXT9ZGJJYZ,1.44E+12,Far-Far,[party] [balloons] guests will release balloons after couple is pronounced man and wife,2.666666667,-1.367010552
wsGCAWZpwbYDBi697,veterans day ribbons we will all wear a ribbon to represent our fallen soldiers,ACFMXT9ZGJJYZ,1.44E+12,Far-Far,[veterans day] [ribbons] we will all wear a ribbon to represent our fallen soldiers,3.666666667,-0.412545689
wysKMxcxxJNji8jeY,Dance party disco ball The disco ball would add to the groove scene,A35NZAXRVLAC0G,1.44E+12,Far-Near,[Dance party] [disco ball] The disco ball would add to the groove scene,2,-0.791876899
xKKtGRqsYp5tehXKy,halloween costume halloween party,A3TYWTLNIKKD29,1.44E+12,pInspControl,[halloween] [costume] halloween party,3,-0.615402427
yHY8FuJRqgRomi5tW,balloon balloon the balloons will be released after the wedding.,A1V6BJT8KGVC1K,1.44E+12,pInspControl,[balloon] [balloon] the balloons will be released after the wedding.,2,-1.638126405
zDX8opbuWEomR2CYa,Halloween carved pumpkins Guests will create carved pumpkins as part of an activity. ,A2AK649KPZ2IZN,1.44E+12,Near-Far,[Halloween] [carved pumpkins] Guests will create carved pumpkins as part of an activity. ,4,0.025428252
zT252XFRw6GoZ4yWs,harry potter wantd for party games,A3TYWTLNIKKD29,1.44E+12,pInspControl,[harry potter] [wantd] for party games,3,-0.99769523
Sbxrtg4TKQP53YTsq,a blizful wedding people people will be there attending with smiles ,A3ESC1H6BBKF30,1.44E+12,Far-Far,[a blizful wedding] [people] people will be there attending with smiles ,2.2,-0.812580181
RW8mhWkW2hB7uSdg3,Hunting Toy Rifle The groomsmen and bridesmaids will hold toy rifles throughout the ceremony,A3B6K6TUKM2133,1.44E+12,Far-Near,[Hunting] [Toy Rifle] The groomsmen and bridesmaids will hold toy rifles throughout the ceremony,4.142857143,0.420288063
25dFsNhsRZSC5Yxkv,Winter White confetti Thrown instead of rice,A1WH32GYQOHIRQ,1.44E+12,Near-Far,[Winter] [White confetti] Thrown instead of rice,1.857142857,-0.996545476
28PTDpmTNEKun6Zo9,"Satan  red paint, pitchforks  dress in red and black, wear fake horns, discordant music and blood provided. ",A2Q0KK9YL1O7B6,1.44E+12,Near-Near,"[Satan ] [red paint, pitchforks ] dress in red and black, wear fake horns, discordant music and blood provided. ",6.333333333,1.160571135
29ZPz5yGAAcchTziZ,Under the Sea water guns to use instead of rice,AMPMTF5IAAMK8,1.44E+12,pInspControl,[Under the Sea] [water guns] to use instead of rice,5,0.469512075
2BgjvGSmrgNFx6kun,"Science Fiction Costumes/spaceship props The couple could dress up in their favorite science fiction garb, perhaps one could even dress up as an alien life form.  They could be married aboard a 'space ship"" and then ""fly off"" to explore the universe together.",A2C7VUFGB8WGCG,1.44E+12,Near-Near,"[Science Fiction] [Costumes/spaceship props] The couple could dress up in their favorite science fiction garb, perhaps one could even dress up as an alien life form.  They could be married aboard a 'space ship"" and then ""fly off"" to explore the universe together.",4.428571429,0.467367849
2Ry7FD2mHXjDDJLGr,Weapons Sword The wedding will include sword dueling and fighting.,A39W0L8ENJR734,1.44E+12,pInspControl,[Weapons] [Sword] The wedding will include sword dueling and fighting.,5.2,0.733925893
2SJgbzBtSZazZPFC5,southern belle ball gown the wedding recreates a fancy southern ball,A1OK974KXKO6FJ,1.44E+12,Near-Near,[southern belle] [ball gown] the wedding recreates a fancy southern ball,2,-1.365447577
2XK4sv8QLAA4BGMbc,Jazz Jazz clothes and instruments Dress like jazz musicians and bring instruments if possible,A3B6K6TUKM2133,1.44E+12,Far-Near,[Jazz] [Jazz clothes and instruments] Dress like jazz musicians and bring instruments if possible,3.666666667,0.018659657
2XQ4zaFfArdkm3XuG,Orgy sex toy This wedding is XXX rated.  Guests bring their favorite sex toy or costume to fit in with the orgy-themed wedding.,ALDQRWYZ8KQ9A,1.44E+12,pInspControl,[Orgy] [sex toy] This wedding is XXX rated.  Guests bring their favorite sex toy or costume to fit in with the orgy-themed wedding.,5.8,0.893489416
2Zz2tJXgsfb6JLMLT,Mystery  magnifying glasses guests will decorate their own magnifying glasses and give to the bride and groom,A1CFUMXK9QFT9M,1.44E+12,Near-Near,[Mystery ] [magnifying glasses] guests will decorate their own magnifying glasses and give to the bride and groom,5,0.27586862
2d6n3zmYQiT7ZqtyW,"Pets Theme Pets Pat & Taylor met at the animal shelter. To celebrate, they want you to bring your pet to the wedding. We'll have different areas for different pets. ",A32W24TWSWXW,1.44E+12,Far-Far,"[Pets Theme] [Pets] Pat & Taylor met at the animal shelter. To celebrate, they want you to bring your pet to the wedding. We'll have different areas for different pets. ",5.777777778,0.99193005
2eQg9hZ92MuNkJahe,Fantasy Spaceships Enjoy this out of the world wedding when Pat and Taylor get married on mars,A35R4APHZXD833,1.44E+12,Far-Far,[Fantasy] [Spaceships] Enjoy this out of the world wedding when Pat and Taylor get married on mars,5.333333333,0.997175769
2eRsH8swAtjxc4SmF,Masquerade masks dress like the Renaissance and pretend everything is a masquerade.,A3914P24XPNPY3,1.44E+12,Far-Far,[Masquerade] [masks] dress like the Renaissance and pretend everything is a masquerade.,4.666666667,0.39036663
2edjvPZAhsQt6dWh5,Lookalike costume People will dress up as someone else,A1RDRK3QTM7U96,1.44E+12,Far-Near,[Lookalike] [costume] People will dress up as someone else,3.8,-0.237388316
2k4tLdcNoqkkNnzpP,Cooking kitchen utensil Utensils will become gifts for the new bride and groom but the food will be self assembled with many different ingredients to choose from. ,A1WAIQEBF6RLC6,1.44E+12,Near-Far,[Cooking] [kitchen utensil] Utensils will become gifts for the new bride and groom but the food will be self assembled with many different ingredients to choose from. ,4.25,0.091404252
2tZZMyuM26Ae7FzxR,hawaii hawaiian shirt guests dress in Hawaiian shirts,A1OK974KXKO6FJ,1.44E+12,Near-Near,[hawaii] [hawaiian shirt] guests dress in Hawaiian shirts,2,-0.696690981
2wkbgBsooZqnmSgCb,country boots The theme is country and the reception will be a typical barn dance with a band and country line dance instructor.,A38BPA6LLVQCN,1.44E+12,Far-Far,[country] [boots] The theme is country and the reception will be a typical barn dance with a band and country line dance instructor.,5,0.374570562
2xZe75xGDdBNp64d6,Sweets candy Each guest will be able to take candy from the candy bar as presents.,A2OJ5XOEKTKRR9,1.44E+12,Far-Near,[Sweets] [candy] Each guest will be able to take candy from the candy bar as presents.,3.6,-0.05946531
2yeEeDcZXgzMxGCzH,New York subway tokens guests will decorate tables with New York icons,A1CFUMXK9QFT9M,1.44E+12,Near-Near,[New York] [subway tokens] guests will decorate tables with New York icons,5.5,0.341445099
2zhisCfAFpATttMwn,Aviation toy airplane Each guest will bring a toy airplane to use as a game piece during the wedding games,A1OFS99W7B2RET,1.44E+12,pInspControl,[Aviation] [toy airplane] Each guest will bring a toy airplane to use as a game piece during the wedding games,4.875,0.502572948
38Gb692xYAzyokFdJ,"80's song A list of songs will be played during the dinner, those who can name the most songs wins the centerpiece.",A2OJ5XOEKTKRR9,1.44E+12,Far-Near,"[80's] [song] A list of songs will be played during the dinner, those who can name the most songs wins the centerpiece.",5,0.691738778
39WZg4sJaBgkx5XpR,"dream cloud pictures fantasy theme, pillows, light colors",A26RO8GGTQAXGG,1.44E+12,Near-Far,"[dream] [cloud pictures] fantasy theme, pillows, light colors",4.8,0.543717638
3Ax3mMyTcnXefFSHY,Costume Costumes Guests come wearing famous couple costumes. Best costume contest after ceremony.,A36O6HV8LCXLJR,1.44E+12,pInspControl,[Costume] [Costumes] Guests come wearing famous couple costumes. Best costume contest after ceremony.,4.5,0.267771116
3BxMHHS5QR7GDWD3G,Gardenia Flowers Flowers would make a beautiful setting for a wedding.,AVU1N78F92K93,1.44E+12,Far-Near,[Gardenia] [Flowers] Flowers would make a beautiful setting for a wedding.,1.125,-1.566896844
3JN5XHeGuML2pQqBa,"House Party Mason Jar Who said weddings had to be expensive? We already know that we love each other, there's no reason to blow our savings on that! Just bring your favorite mason jar - we'll do the rest. We'll have drink stations set up, kegs of our favorite craft beers, and snacks!",A1ENTWNZQLZ3K,1.44E+12,Far-Far,"[House Party] [Mason Jar] Who said weddings had to be expensive? We already know that we love each other, there's no reason to blow our savings on that! Just bring your favorite mason jar - we'll do the rest. We'll have drink stations set up, kegs of our favorite craft beers, and snacks!",3.5,-0.157689121
3JPsyGrRb5gSiEiaT,Harry Potter Wand Guests use the wands to cast spells during and after ceremony.,A1W045DUHMM4LZ,1.44E+12,pInspControl,[Harry Potter] [Wand] Guests use the wands to cast spells during and after ceremony.,3.75,0.077751613
3MNoSZYbTg99aaKQK,"Fantasy Costume Not a traditional wedding! Bring a fun costume and expect games, role-playing, and fun. ",A5C761Y9MWNCA,1.44E+12,pInspControl,"[Fantasy] [Costume] Not a traditional wedding! Bring a fun costume and expect games, role-playing, and fun. ",3.5,0.117217906
3REvaWrPzKLdKYLL8,"vampires fake vampire teeth All the guests will have fake vampire teeth, and the wedding will be gothic style. ",A12J4IRF5Z06BT,1.44E+12,pInspControl,"[vampires] [fake vampire teeth] All the guests will have fake vampire teeth, and the wedding will be gothic style. ",3.666666667,-0.215394342
3X8JEjoC4csfDRYRx,Debate speeches Long-time married guests will take the stage and debate how to properly approach a successful marriage!,A1OFS99W7B2RET,1.44E+12,pInspControl,[Debate] [speeches] Long-time married guests will take the stage and debate how to properly approach a successful marriage!,4.666666667,0.5323297
3YnBk8GT4ee9GQdYm,Murder Mystery Magnifying glass Lots of sleuthing and questioning required.  Clues will be hidden around as well.  ,A2BWTQWFM1J2IN,1.44E+12,Near-Far,[Murder Mystery] [Magnifying glass] Lots of sleuthing and questioning required.  Clues will be hidden around as well.  ,6,0.915385098
3nYcWztpu4hDyFHNn,"RP (role-playing) Foam swords After the couple says their vows (in their RP gear of course) we all proceed outside, make a tunnel of foam swords for them to walk under..before the war breaks out and we all attack, because how can you not have a foam sword fight with foam swords in hand.",A2TUS3SMO9D6JU,1.44E+12,Near-Far,"[RP (role-playing)] [Foam swords] After the couple says their vows (in their RP gear of course) we all proceed outside, make a tunnel of foam swords for them to walk under..before the war breaks out and we all attack, because how can you not have a foam sword fight with foam swords in hand.",5,0.520012274
3oc9YqnZ9PCvbd5qK,"beach very casual clothes are shorts, swimwear, hawaiian shirts",A26RO8GGTQAXGG,1.44E+12,Near-Far,"[beach] [very casual] clothes are shorts, swimwear, hawaiian shirts",1.5,-1.036884575
3pAsEZX339xWs4BhC,Oregon Trail Big hats The wedding will have decor of 1900s and the guests will have antique hats and clothes.,A2HGDILIMZWQI9,1.44E+12,Near-Near,[Oregon Trail] [Big hats] The wedding will have decor of 1900s and the guests will have antique hats and clothes.,4,-0.386068869
3tSfrCFFydjxmkitT,pictures vacation pictures bring your favorite vacation pictures for ideas for where we should travel,AW5FP8MFB3F7X,1.44E+12,Near-Near,[pictures] [vacation pictures] bring your favorite vacation pictures for ideas for where we should travel,3.5,-0.905501701
3tXovyMYhieJDac5J,dogs dogs The wedding will be themed around dogs.,A144CG4DJ1O4P3,1.44E+12,Far-Far,[dogs] [dogs] The wedding will be themed around dogs.,3.375,-0.38287196
3wJnHfPCGX44hbbx2,Garden Plants or yard tools These will go to the new couple for their home. The plants would be used as centerpieces and decoration during the wedding and reception as well,A1WAIQEBF6RLC6,1.44E+12,Near-Far,[Garden] [Plants or yard tools] These will go to the new couple for their home. The plants would be used as centerpieces and decoration during the wedding and reception as well,4.666666667,1.265381361
47ibbCSPA3EMoXsj8,Harry Potter costumes and wands Groom will be Harry and Bride will be Ginny. They will take unbreakable vow while dressed as Hogwarts Students.,A2QJEZZWUPNL4A,1.44E+12,Near-Near,[Harry Potter] [costumes and wands] Groom will be Harry and Bride will be Ginny. They will take unbreakable vow while dressed as Hogwarts Students.,3.5,0.00463149
47y2jTbssMSic9SWy,frontier string tie or bustier costumes,A26RO8GGTQAXGG,1.44E+12,Near-Far,[frontier] [string tie or bustier] costumes,3.75,-0.245428612
48Cm7KaXzWtoMTKRj,sports ball the reception will consist of different sports activities,A1V6BJT8KGVC1K,1.44E+12,pInspControl,[sports] [ball] the reception will consist of different sports activities,5,0.710456183
4Muu7mDKL8tEPwiMP,skydiving parachute For the bride and groom to exchange vows in midair,A1IS0218RVG60K,1.44E+12,Far-Far,[skydiving] [parachute] For the bride and groom to exchange vows in midair,5.1,0.687858261
4RTo3xsrbmKucSofw,Halloween Costume Dress in costume for the reception and hold a costume contest,A1TCAFE0DO64CG,1.44E+12,Far-Far,[Halloween] [Costume] Dress in costume for the reception and hold a costume contest,3,-0.158192704
4Xc2aTAZDCCSgWwfv,Dinosaurs plastic dinosaurs This will be a dinosaur wedding with plastic dinosaurs at the tables and huge dinosaur models all around that guests can take pictures on and ride. Kids will be able to dig in a sandpit for party favors (more plastic dinosaurs).,A2C7GACUTX1SR0,1.44E+12,Near-Near,[Dinosaurs] [plastic dinosaurs] This will be a dinosaur wedding with plastic dinosaurs at the tables and huge dinosaur models all around that guests can take pictures on and ride. Kids will be able to dig in a sandpit for party favors (more plastic dinosaurs).,4.333333333,0.576884149
